ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2,t3,A3,W3,d3,t4,A4,W4,d4
97,45000,7,3.32,29.1,60,322.58,12,100,165,210,9900,67741.8,19354.8,3600,27225,44100,104057.8564,216000,4492125,9261000,33566983.32,12960000,741200625,1944810000,10828037479
98,50000,7,3.32,29.1,50,266.32,10,120,200,250,10000,66580,13316,2500,40000,62500,70926.3424,125000,8000000,15625000,18889103.51,6250000,1600000000,3906250000,5030546046
99,80000,7,3.32,29.1,30,364.61,9,180,165,210,4950,76568.1,10938.3,900,27225,44100,132940.4521,27000,4492125,9261000,48471418.24,810000,741200625,1944810000,17673163805
100,70000,8,3.32,29.1,40,239.56,2,160,285,330,11400,79054.8,9582.4,1600,81225,108900,57388.9936,64000,23149125,35937000,13748107.31,2560000,6597500625,11859210000,3293496586
101,85000,9,3.32,29.1,20,90.27,2,200,240,290,4800,26178.3,1805.4,400,57600,84100,8148.6729,8000,13824000,24389000,735580.7027,160000,3317760000,7072810000,66400870.03
102,105000,6,3.32,29.1,35,201.42,2,160,480,300,16800,60426,7049.7,1225,230400,90000,40570.0164,42875,110592000,27000000,8171612.703,1500625,53084160000,8100000000,1645926231
103,40000,7,3.32,29.1,60,154.25,3,100,285,330,17100,50902.5,9255,3600,81225,108900,23793.0625,216000,23149125,35937000,3670079.891,12960000,6597500625,11859210000,566109823.1
104,65000,8,3.32,29.1,40,169.96,3,160,210,260,8400,44189.6,6798.4,1600,44100,67600,28886.4016,64000,9261000,17576000,4909532.816,2560000,1944810000,4569760000,834424197.4
105,85000,9,3.32,29.1,20,173.93,6,200,165,210,3300,36525.3,3478.6,400,27225,44100,30251.6449,8000,4492125,9261000,5261668.597,160000,741200625,1944810000,915162019.2
106,60000,6,3.32,29.1,40,144.14,6,140,405,450,16200,64863,5765.6,1600,164025,202500,20776.3396,64000,66430125,91125000,2994701.59,2560000,26904200625,41006250000,431656287.2
