ID,Household income,Household size,Rainfall,Ave temp wet,LST wet,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay
360,100000,6,306.69,28.4,39.4,20,327.27,7,200,90,140
361,85000,9,306.69,28.4,39.7,20,291.29,6,200,90,140
362,105000,9,306.69,28.4,39.31,20,339.84,8,200,90,140
363,100000,9,306.69,28.4,39.9,20,306.22,6,220,90,140
364,100000,8,306.69,28.4,40.18,40,268.07,5,160,90,140
365,100000,9,306.69,28.4,39.44,20,355.76,7,200,90,140
366,100000,6,306.69,28.4,40.11,40,310.04,7,140,90,140
367,100000,8,306.69,28.4,39.77,40,357.58,7,160,90,140
368,100000,9,306.69,28.4,39.24,20,306.79,10,200,90,140
369,80000,8,306.69,28.4,39.01,40,356.72,11,160,90,140
370,65000,8,306.69,28.4,39.17,40,244,3,160,90,140
371,80000,7,306.69,28.4,39.46,30,183.17,4,180,330,380
372,60000,6,306.69,28.4,39.29,40,237.61,5,140,120,170
373,60000,6,306.69,28.4,39.11,20,157.43,4,200,405,450
374,60000,7,306.69,28.4,38.94,20,203.97,3,200,330,380
375,60000,7,306.69,28.4,38.84,30,136.36,1,180,330,380
376,70000,8,306.69,28.4,38.85,40,45.04,1,160,360,410
377,50000,7,306.69,28.4,38.78,50,47.68,2,120,480,300
378,80000,7,306.69,28.4,38.74,30,79.16,0,180,360,410
379,40000,7,306.69,28.4,38.61,50,112.36,1,100,330,380
380,100000,7,306.69,28.4,38.77,20,82.86,0,220,330,380
381,70000,8,306.69,28.4,38.76,40,93.41,3,160,240,290
382,70000,7,306.69,28.4,38.78,30,54.82,0,180,450,500
383,85000,9,306.69,28.4,38.63,20,82.46,2,200,285,330
384,70000,8,306.69,28.4,38.48,40,118.11,2,160,330,380
385,95000,9,306.69,28.4,38.74,20,55.58,0,200,285,330
386,65000,8,306.69,28.4,38.73,40,53.54,1,160,360,410
387,65000,6,306.69,28.4,38.76,40,48.84,1,140,645,400
388,65000,9,306.69,28.4,38.9,20,88.2,2,200,285,330
389,65000,9,306.69,28.4,39.06,20,42.2,0,200,285,330
390,65000,7,306.69,28.4,38.98,20,38.48,0,200,450,500
391,75000,7,306.69,28.4,39.07,30,47.76,1,180,480,300
392,70000,8,306.69,28.4,39.1,40,15.62,0,160,450,500
393,105000,9,306.69,28.4,39.09,20,23.19,1,200,360,410
394,60000,6,306.69,28.4,39.07,35,46.49,1,140,645,400
395,90000,9,306.69,28.4,39.04,20,65.73,0,200,285,330
396,80000,7,306.69,28.4,38.83,30,52.2,1,180,480,300
397,60000,7,306.69,28.4,38.81,30,67.36,1,180,480,300
398,95000,9,306.69,28.4,39.04,20,56.73,0,200,285,330
399,60000,6,306.69,28.4,38.9,40,135.2,2,140,570,280
400,65000,8,306.69,28.4,38.83,40,143.39,3,160,330,380
401,95000,9,306.69,28.4,38.11,20,121.56,3,200,240,290
402,60000,6,306.69,28.4,38,40,66.03,2,140,645,400
403,95000,9,306.69,28.4,38.44,20,155.97,5,220,240,290
404,100000,6,306.69,28.4,38.33,20,116.73,3,220,570,280
405,60000,6,306.69,28.4,38.49,40,151.73,2,140,570,280
406,50000,7,306.69,28.4,38.15,50,44.18,3,120,480,300
407,100000,5,306.69,28.4,38.14,20,69.32,1,220,480,300
408,50000,7,306.69,28.4,37.94,50,91.55,2,120,480,300
409,100000,7,306.69,28.4,37.62,20,37.7,0,220,480,300
410,75000,7,306.69,28.4,37.34,30,94.34,3,180,405,450
411,80000,9,306.69,28.4,36.57,20,103.46,2,200,240,290
412,50000,7,306.69,28.4,36.7,50,196.36,2,120,405,450
413,100000,6,306.69,28.4,37.83,20,187.96,6,220,525,480
414,40000,7,306.69,28.4,38.42,60,220.1,1,100,360,410
