ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2
173,80000,7,3.32,29.1,30,531.51,18,180,210,260,6300,138192.6,15945.3,900,44100,67600,282502.8801
174,80000,8,3.32,29.1,40,527.39,16,160,210,260,8400,137121.4,21095.6,1600,44100,67600,278140.2121
175,80000,9,3.32,29.1,20,463.04,4,200,190,240,3800,111129.6,9260.8,400,36100,57600,214406.0416
176,80000,6,3.32,29.1,20,488.07,26,200,210,260,4200,126898.2,9761.4,400,44100,67600,238212.3249
177,80000,7,3.32,29.1,50,474.22,15,220,210,260,10500,123297.2,23711,2500,44100,67600,224884.6084
178,80000,7,3.32,29.1,30,469.3,24,180,400,450,12000,211185,14079,900,160000,202500,220242.49
179,80000,8,3.32,29.1,40,470.34,17,160,210,260,8400,122288.4,18813.6,1600,44100,67600,221219.7156
180,80000,6,3.32,29.1,40,405.81,9,140,120,170,4800,68987.7,16232.4,1600,14400,28900,164681.7561
181,80000,7,3.32,29.1,30,379.33,16,180,280,330,8400,125178.9,11379.9,900,78400,108900,143891.2489
182,50000,7,3.32,29.1,30,323.36,12,180,120,170,3600,54971.2,9700.8,900,14400,28900,104561.6896
183,60000,6,3.32,29.1,40,373.55,9,140,120,170,4800,63503.5,14942,1600,14400,28900,139539.6025
184,50000,7,3.32,29.1,50,268.75,9,120,165,210,8250,56437.5,13437.5,2500,27225,44100,72226.5625
185,70000,8,3.32,29.1,40,342.38,2,160,380,430,15200,147223.4,13695.2,1600,144400,184900,117224.0644
186,95000,8,3.32,29.1,35,297.26,6,160,165,210,5775,62424.6,10404.1,1225,27225,44100,88363.5076
187,95000,9,3.32,29.1,20,231.68,8,200,120,170,2400,39385.6,4633.6,400,14400,28900,53675.6224
188,65000,8,3.32,29.1,40,237.2,0,160,165,210,6600,49812,9488,1600,27225,44100,56263.84
189,45000,6,3.32,29.1,40,186.42,6,140,280,330,11200,61518.6,7456.8,1600,78400,108900,34752.4164
190,40000,7,3.32,29.1,60,72.57,3,100,360,410,21600,29753.7,4354.2,3600,129600,168100,5266.4049
191,55000,6,3.32,29.1,40,112.72,3,140,450,500,18000,56360,4508.8,1600,202500,250000,12705.7984
192,55000,6,3.32,29.1,40,159.14,6,140,450,500,18000,79570,6365.6,1600,202500,250000,25325.5396
193,85000,9,3.32,29.1,40,196.45,4,200,165,210,6600,41254.5,7858,1600,27225,44100,38592.6025
194,90000,8,3.32,29.1,40,222.3,9,160,210,260,8400,57798,8892,1600,44100,67600,49417.29
195,60000,6,3.32,29.1,40,128.72,1,140,280,330,11200,42477.6,5148.8,1600,78400,108900,16568.8384
196,100000,7,3.32,29.1,20,306.37,15,220,285,330,5700,101102.1,6127.4,400,81225,108900,93862.5769
197,100000,9,3.32,29.1,20,196.6,3,220,210,260,4200,51116,3932,400,44100,67600,38651.56
198,40000,7,3.32,29.1,60,211.02,2,100,330,380,19800,80187.6,12661.2,3600,108900,144400,44529.4404
199,50000,6,3.32,29.1,40,192.63,4,140,480,300,19200,57789,7705.2,1600,230400,90000,37106.3169
200,75000,7,3.32,29.1,30,230.85,2,180,330,380,9900,87723,6925.5,900,108900,144400,53291.7225
201,95000,9,3.32,29.1,50,101.84,0,200,285,330,14250,33607.2,5092,2500,81225,108900,10371.3856
202,55000,6,3.32,29.1,40,138.64,2,140,570,280,22800,38819.2,5545.6,1600,324900,78400,19221.0496
203,65000,7,3.32,29.1,30,105.08,1,180,480,300,14400,31524,3152.4,900,230400,90000,11041.8064
204,105000,6,3.32,29.1,20,72.84,0,200,720,380,14400,27679.2,1456.8,400,518400,144400,5305.6656
